answerID,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo
-LZeiQK4qsqtdd3bTfBg,5,"Hartford International School",0,1,3,7+13=?,20,24,106.5661773682,1
-LZeiQW8UdJI0K4PCIKj,10,"Hartford International School",1,4,0,2+0=?,2,2,3.4024658202999998,1
-LZeiQxxe5JTqCCgd1Ey,6,"Hartford International School",1,1,3,0+20=?,20,20,3.1371498108,1
-LZeiRCj2k4VkZO_h_X-,6,"Hartford International School",0,1,2,10+7=?,17,20,4.5193958282,1
-LZeiSH8P5-5bHTKSCWI,6,"Hartford International School",0,1,2,10+6=?,16,16,4.3776512146,1
-LZeiSlpSbeDoBjya8et,6,"Hartford International School",0,1,2,12+8=?,20,20,2.0313854218,1
-LZeiTV6mcWoN432SJPV,6,"Hartford International School",0,1,2,11+4=?,15,15,2.9604473114000003,1
-LZeiU11SIElklkyUIeJ,6,"Hartford International School",0,1,3,7+13=?,20,16,2.1730709076,1
-LZeiUTL5GpWMdVvg8N8,6,"Hartford International School",0,1,3,3+12=?,15,12,1.8109130859,1
-LZeiUdQ54Ekm-3ctjgi,10,"Hartford International School",1,4,0,2+8=?,10,12,16.9102535248,1
-LZeiUjAJWRK9b8Jjnr_,5,"Hartford International School",0,1,3,3+12=?,15,12,18.0507240295,1
-LZeiUv82y4-VT3MOPhv,6,"Hartford International School",0,1,3,0+20=?,20,16,1.8423957825000001,1
-LZeiVCa7_xvGK5N_Jyn,10,"Hartford International School",1,4,1,5+5=?,10,10,2.3180351257,1
-LZeiVCsyYr0MPMnG4b5,6,"Hartford International School",0,1,3,17+10=?,27,32,1.1967582703,1
-LZeiVlGMzwAYamR_Sh3,6,"Hartford International School",0,1,3,15+10=?,25,25,2.267578125,1
-LZeiW8m6dJKGu21AWDD,10,"Hartford International School",1,4,1,1+10=?,11,11,3.8522186279,1
-LZeiWEaQkf7SLZiC0xC,5,"Hartford International School",0,1,3,0+20=?,20,20,6.1730728149,1
-LZeiWZFxN5vGtIQf3BQ,9,"Hartford International School",1,4,0,2+2=?,4,4,9.5121679306,1
-LZeiWmwXfDw0Z27-ctU,6,"Hartford International School",1,1,2,12+8=?,20,16,68.2764282227,1
-LZeiWp8kGI-SWZfHJe-,6,"Hartford International School",1,1,3,17+10=?,27,27,24.0071868896,1
-LZeiWpGDDwy0xfCNBkD,10,"Hartford International School",1,4,1,2+10=?,12,12,2.7853813171,1
-LZeiXpd5XgyHkaEV31b,10,"Hartford International School",1,4,1,7+10=?,17,17,4.118976593,1
-LZeiYKMq32kR3DhyiK3,6,"Hartford International School",1,1,3,15+10=?,25,25,6.1576080322,1
-LZeiYLPwacxA0ZL-zB0,9,"Hartford International School",1,4,0,4+2=?,6,6,7.3202772141,1
-LZeiYNGcI0C1_023HJy,10,"Hartford International School",1,4,1,10+2=?,12,12,2.2178802490000002,1
-LZeiYTwftBFq2BAic3e,6,"Hartford International School",0,1,4,25+10=?,35,28,2.3463706970000002,1
-LZeiYtgSO0S7yaz2li9,10,"Hartford International School",1,4,2,10+8=?,18,18,2.134979248,1
-LZeiZM69n2b7ctVuvzi,10,"Hartford International School",1,4,2,10+7=?,17,17,1.8844261169,1
-LZeiZmILmds1xw1X-Ji,9,"Hartford International School",1,4,0,6+3=?,9,9,5.8824272156,1
-LZeiZpaVvDfESALUS4n,10,"Hartford International School",1,4,2,10+6=?,16,16,1.9443567991,1
-LZei_YbbsHrB5rJ5Sgx,6,"Hartford International School",0,1,4,25+25=?,50,50,2.3620376587,1
-LZei_vhe4yLuv7aDMbp,6,"Hartford International School",1,1,4,25+10=?,35,35,5.7563514709,1
-LZeia161-gMLRZHCNq6,6,"Hartford International School",0,1,4,42+35=?,77,62,1.9526443481,1
-LZeiaMD105mwRcMTcuF,6,"Hartford International School",1,1,2,11+4=?,15,15,18.7011032104,1
-LZeiah383fzMasuTC3r,9,"Hartford International School",1,4,0,2+0=?,2,2,7.8553524017,1
