,loID,grado,tiempo
0,0,1,11.064109802246094
1,0,2,7.257709503173827
2,0,3,6.9104695320129395
3,0,4,5.397869110107422
4,0,5,3.8012452125549316
5,1,1,7.570392608642577
6,1,2,4.913257598876953
7,1,3,3.8183197975158696
8,1,4,2.9912986755371094
9,1,5,2.406552314758301
10,2,1,9.893455505371094
11,2,2,10.561996459960938
12,2,3,6.899144649505615
13,2,4,6.721771240234375
14,2,5,3.5264625549316406
15,3,1,7.31500244140625
16,3,2,11.998798370361328
17,3,3,6.41161584854126
18,3,4,6.4340858459472665
19,3,5,4.437011241912842
20,4,1,7.286167144775391
21,4,2,13.219566345214846
22,4,3,13.612302780151367
23,4,4,13.771501541137695
24,4,5,9.107778549194336
