id,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LaQ_7R3VAWeKrWdsXv_,10,Hartford International School,0,5,2,8+21=?,29,29,3.52569580078125,1,-LaQZvlOUvQcKzVILey9
-LaQ_7_gFcFbHbIBLgIC,11,Hartford International School,0,5,3,13+10=?,23,23,2.339160919189453,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_7gYSLWqCLpfhdzW,10,Hartford International School,0,5,3,22+10=?,32,32,5.131065368652344,1,-LaQZurPwCF55Hiv18kH
-LaQ_7p2r8eRQ0ywyeWo,10,Hartford International School,1,5,1,5+10=?,15,15,2.1896839141845703,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_7utA7hf9BkSGUKW,10,Hartford International School,0,5,0,4+2=?,6,6,4.051440238952637,1,-LaQ_5nnlLhsA3u6iDF5
-LaQ_8-3e52Ir3RouSKm,10,Hartford International School,0,5,2,7+17=?,24,24,8.957523345947266,1,-LaQZxvCZUvf9J0938NI
-LaQ_8-cbzvAsKvaXqzi,10,Hartford International School,0,5,2,3+30=?,33,33,2.339794158935547,1,-LaQZvlOUvQcKzVILey9
-LaQ_83VgniMkLn-nXig,11,Hartford International School,1,5,0,6+4=?,10,10,4.227597236633302,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_86E6SX6jVL1hNLp,10,Hartford International School,1,5,0,6+4=?,10,10,14.156999588012695,1,-LaQ_08Mr96o00YYSj4_
-LaQ_8LRlqP5bs_DtBwZ,10,Hartford International School,1,5,1,7+10=?,17,17,2.138723373413086,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_8UiTe_9tmfEogAC,10,Hartford International School,0,5,3,17+10=?,27,27,3.2752685546875,1,-LaQZurPwCF55Hiv18kH
-LaQ_8al61FJxDeS4Ucu,10,Hartford International School,0,5,3,13+10=?,23,23,2.4401931762695312,1,-LaQZvlOUvQcKzVILey9
-LaQ_8apkUM7zp0nsF3w,10,Hartford International School,1,5,1,1+10=?,11,11,2.022897720336914,1,-LaQ_08Mr96o00YYSj4_
-LaQ_8dNzlMeo42JnKud,10,Hartford International School,0,5,2,8+21=?,29,29,2.641395568847656,1,-LaQZxvCZUvf9J0938NI
-LaQ_8niPH7hB65zKjwW,10,Hartford International School,1,5,1,0+10=?,10,10,1.872222900390625,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_8yT3fcGy-09JTfK,11,Hartford International School,1,5,1,1+10=?,11,11,3.7099742889404297,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_9-ogVvYLeBp15Ya,11,Hartford International School,0,5,3,22+10=?,32,32,5.816854000091553,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_9CcA4lUBVeDFmN_,10,Hartford International School,0,5,2,3+30=?,33,33,2.3227615356445312,1,-LaQZxvCZUvf9J0938NI
-LaQ_9DmIXEiSzZiJnDc,10,Hartford International School,1,5,1,3+10=?,13,13,2.557445526123047,1,-LaQ_08Mr96o00YYSj4_
-LaQ_9Pb-VdxJeuK_Qdl,10,Hartford International School,1,5,2,2+12=?,14,14,2.4896678924560547,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_9SaNcrNCnEWQrGa,10,Hartford International School,0,5,3,22+10=?,32,32,3.509685516357422,1,-LaQZvlOUvQcKzVILey9
-LaQ_9TZhFw3pkimfJCF,10,Hartford International School,0,5,0,4+3=?,7,7,6.3787031173706055,1,-LaQ_5nnlLhsA3u6iDF5
-LaQ_9VvBlq_iVu_jplC,11,Hartford International School,1,5,1,3+10=?,13,13,2.206277847290039,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_9ay3NQMDxG6s0Wb,11,Hartford International School,0,5,3,17+10=?,27,27,2.4399642944335938,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_9pvIMHEDNuL9sl0,10,Hartford International School,0,5,3,33+10=?,43,43,5.514684200286865,1,-LaQZurPwCF55Hiv18kH
-LaQ_A6aeEtWae_eZQEB,11,Hartford International School,1,5,1,5+10=?,15,15,2.4732341766357417,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_ACcZCgEwV2FKWW4,10,Hartford International School,0,5,3,13+10=?,23,23,4.094474792480469,1,-LaQZxvCZUvf9J0938NI
-LaQ_AWQbIpiD6xg5VOC,10,Hartford International School,0,5,0,3+1=?,4,4,4.269503593444823,1,-LaQ_5nnlLhsA3u6iDF5
-LaQ_A_EZ8tF5bcyqeJa,10,Hartford International School,1,5,1,5+10=?,15,15,5.5320396423339835,1,-LaQ_08Mr96o00YYSj4_
-LaQ_A_NaySLGea515Rh,11,Hartford International School,0,5,3,33+10=?,43,43,3.994228363037109,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_AgGGIipf_TTlyFf,11,Hartford International School,1,5,0,1+3=?,4,4,5.079469203948975,1,-LaQ_9HUIeIA4jb6sDJP
-LaQ_Ai2D0iaXss4EiCh,10,Hartford International School,0,5,3,17+10=?,27,27,5.13111686706543,1,-LaQZvlOUvQcKzVILey9
-LaQ_AioV9QfghfqtPU4,10,Hartford International School,0,5,3,40+10=?,50,50,3.64330530166626,1,-LaQZurPwCF55Hiv18kH
-LaQ_AjX6TNhrlv02Nz2,11,Hartford International School,1,5,1,7+10=?,17,17,2.55752944946289,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_B0URPs8Cr092297,10,Hartford International School,1,5,2,6+11=?,17,17,6.5848960876464835,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_B3y9tttmZ8aNFAw,11,Hartford International School,0,5,3,40+10=?,50,50,2.0217113494873047,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_B8ecFLO6FPBVDYt,10,Hartford International School,0,5,3,22+10=?,32,32,3.843994140625,1,-LaQZxvCZUvf9J0938NI
-LaQ_BLalV78fdtP_lje,10,Hartford International School,1,5,1,7+10=?,17,17,3.159507751464844,1,-LaQ_08Mr96o00YYSj4_
-LaQ_BRUm6QVZWmJVI1x,11,Hartford International School,1,5,1,0+10=?,10,10,2.8740634918212886,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_BdP9ARfuGXYL5rv,11,Hartford International School,1,5,0,4+2=?,6,6,3.9202418327331534,1,-LaQ_9HUIeIA4jb6sDJP
-LaQ_BnBTSSGIhjTSemJ,10,Hartford International School,0,5,3,17+10=?,27,27,2.657318115234375,1,-LaQZxvCZUvf9J0938NI
-LaQ_BuOq2O8bHNeaSgI,10,Hartford International School,0,5,0,6+4=?,10,10,5.703580856323242,1,-LaQ_5nnlLhsA3u6iDF5
-LaQ_C3anJVgJxQAR03Y,10,Hartford International School,1,5,2,7+17=?,24,28,4.294731140136719,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_C8dDkL6R6aLPkgY,11,Hartford International School,1,5,2,2+12=?,14,14,2.8915233612060547,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_CFpSPpq-kEPv3S3,10,Hartford International School,1,5,1,0+10=?,10,10,3.7269287109375,1,-LaQ_08Mr96o00YYSj4_
-LaQ_CIoe-bPeQnK-At3,11,Hartford International School,1,5,0,4+3=?,7,7,2.714254379272461,1,-LaQ_9HUIeIA4jb6sDJP
-LaQ_CTbKEeBIThFFRgT,10,Hartford International School,0,5,3,33+10=?,43,43,7.202805519104004,1,-LaQZvlOUvQcKzVILey9
-LaQ_Cov8_LwNBsmMVim,10,Hartford International School,0,5,1,1+10=?,11,11,3.745794296264648,1,-LaQ_5nnlLhsA3u6iDF5
-LaQ_Cpa2Yt__SJa8gBC,11,Hartford International School,1,5,0,3+1=?,4,4,2.1619224548339844,1,-LaQ_9HUIeIA4jb6sDJP
-LaQ_D1qtqhRaFHboriK,10,Hartford International School,0,5,3,33+10=?,43,43,5.097429275512695,1,-LaQZxvCZUvf9J0938NI
-LaQ_D29FJQdzH4BXdM4,10,Hartford International School,0,5,3,40+10=?,50,50,2.340176582336426,1,-LaQZvlOUvQcKzVILey9
-LaQ_D6ws3yxuJrl4pV2,10,Hartford International School,1,5,2,2+12=?,14,14,3.5272293090820312,1,-LaQ_08Mr96o00YYSj4_
-LaQ_DQatFYxFRAR1wSF,11,Hartford International School,1,5,2,6+11=?,17,17,5.247871398925781,1,-LaQ_3Jf9TXvzTNREIvk
-LaQ_DTbwvmGs9nnFzun,10,Hartford International School,0,5,1,3+10=?,13,13,2.6663799285888667,1,-LaQ_5nnlLhsA3u6iDF5
-LaQ_DXMci2nK4K6FXsh,11,Hartford International School,1,5,0,6+4=?,10,10,2.865321159362793,1,-LaQ_9HUIeIA4jb6sDJP
-LaQ_DYUUb_-sEDX96FC,10,Hartford International School,0,5,3,40+10=?,50,50,2.088782787322998,1,-LaQZxvCZUvf9J0938NI
-LaQ_DqMzI_xLxVH6J77,10,Hartford International School,0,5,0,1+3=?,4,4,5.000999450683594,1,-LaQ_CEv2yISUm4huLdu
-LaQ_DvKOwUPue4W4QQw,10,Hartford International School,0,5,1,5+10=?,15,15,1.839515686035156,1,-LaQ_5nnlLhsA3u6iDF5
-LaQ_Dw4BhE4AwcI82uT,10,Hartford International School,0,5,4,17+25=?,42,34,13.13630485534668,1,-LaQZurPwCF55Hiv18kH
-LaQ_Dz9a-wnWCFYswA2,11,Hartford International School,1,5,1,1+10=?,11,11,1.843170166015625,1,-LaQ_9HUIeIA4jb6sDJP
-LaQ_ED2laYtZGmhHqmE,11,Hartford International School,0,5,4,17+25=?,42,42,12.868593215942385,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_EQgYUgsV5muZJ69,11,Hartford International School,1,5,1,3+10=?,13,13,1.8259849548339844,1,-LaQ_9HUIeIA4jb6sDJP
-LaQ_EUDtwHaQrxAd437,10,Hartford International School,1,5,2,8+21=?,29,29,9.893638610839844,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_EVOrn3e5yuBYBsP,10,Hartford International School,0,5,4,25+25=?,50,50,2.3224506378173833,1,-LaQZurPwCF55Hiv18kH
-LaQ_E_FEOZvil9rQmnr,10,Hartford International School,0,5,1,7+10=?,17,17,2.683067321777344,1,-LaQ_5nnlLhsA3u6iDF5
