answerID,answerChangedCount,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LcC9k9zz9Y62LjDBZs-,1,10,Colegio la Ensenanza,1,5,1,1+10=?,11,11,2.30639267,1,-LcC9eJjqssJq3TxrRB-
-LcC9kT-Y6_g1kDCce0v,1,10,Colegio la Ensenanza,1,5,2,3+30=?,33,33,2.118946075,1,-LcC9Y01hq-wpSGPOKxj
-LcC9kdIY0lvq_SgDG3P,1,10,Colegio la Ensenanza,1,5,3,22+10=?,32,32,3.911235809,1,-LcC9XItyyOrVxzcUKCC
-LcC9kf3EGD53Nw3Y0oX,1,9,Colegio la Ensenanza,1,5,2,8+21=?,29,29,5.983341217,1,-LcC9XonlJh6zjm8wRMb
-LcC9krhCcOBpHJfCiy1,1,10,Colegio la Ensenanza,1,5,1,3+10=?,13,13,2.874656677,1,-LcC9eJjqssJq3TxrRB-
-LcC9lHU_-4vAks25ysn,1,10,Colegio la Ensenanza,1,5,0,6+4=?,10,10,4.657096863,1,-LcC9dfKMykAfuobp_Z3
-LcC9lS-Ehn8jb7JMIkI,1,10,Colegio la Ensenanza,1,5,1,5+10=?,15,15,2.373502731,1,-LcC9eJjqssJq3TxrRB-
-LcC9lWIVz8VAeFr8ozV,1,10,Colegio la Ensenanza,1,5,3,17+10=?,27,27,3.564636946,1,-LcC9XItyyOrVxzcUKCC
-LcC9laAef0vQpQo0m1c,1,9,Colegio la Ensenanza,1,5,2,3+30=?,33,33,3.776241302,1,-LcC9XonlJh6zjm8wRMb
-LcC9lpnwraD5LUoIwsE,1,10,Colegio la Ensenanza,1,5,1,1+10=?,11,11,2.260908127,1,-LcC9dfKMykAfuobp_Z3
-LcC9m1lpk7B8MHSCvZo,1,10,Colegio la Ensenanza,1,5,0,1+3=?,4,4,4.464692593,1,-LcC9kcyGjlrJufhWjY2
-LcC9m4vF-JQ1J_gO9qN,1,10,Colegio la Ensenanza,1,5,1,7+10=?,17,17,2.623758316,1,-LcC9eJjqssJq3TxrRB-
-LcC9mbm199nTX1m8qzw,1,10,Colegio la Ensenanza,1,5,0,4+2=?,6,6,2.389904022,1,-LcC9kcyGjlrJufhWjY2
-LcC9mimiuI93MTine3v,1,10,Colegio la Ensenanza,1,5,1,0+10=?,10,10,2.624443054,1,-LcC9eJjqssJq3TxrRB-
-LcC9mtOxYc-FgpvTOUT,1,10,Colegio la Ensenanza,1,5,3,33+10=?,43,43,5.632846355,1,-LcC9XItyyOrVxzcUKCC
-LcC9nADE4vOiA0X27V1,1,10,Colegio la Ensenanza,1,5,1,3+10=?,13,13,5.466247559,1,-LcC9dfKMykAfuobp_Z3
-LcC9nKM3ZTQq0IPeyYP,1,10,Colegio la Ensenanza,1,5,2,2+12=?,14,14,2.457038879,1,-LcC9eJjqssJq3TxrRB-
-LcC9nOsbU9vExMqc4ri,1,10,Colegio la Ensenanza,1,5,0,4+3=?,7,7,3.208703518,1,-LcC9kcyGjlrJufhWjY2
-LcC9nPkiDAYW0sglel_,1,9,Colegio la Ensenanza,1,5,3,13+10=?,23,23,7.47061348,1,-LcC9XonlJh6zjm8wRMb
-LcC9ncyiA_6W6-Dq3gH,1,10,Colegio la Ensenanza,1,5,3,40+10=?,50,50,3.059169769,1,-LcC9XItyyOrVxzcUKCC
-LcC9o0HZIXW-nOlKJh5,1,10,Colegio la Ensenanza,1,5,0,3+1=?,4,4,2.523809433,1,-LcC9kcyGjlrJufhWjY2
-LcC9o0mzMa4mb7eWU7p,1,10,Colegio la Ensenanza,1,5,1,5+10=?,15,15,3.492202759,1,-LcC9dfKMykAfuobp_Z3
-LcC9o2FVd1ecpibUYeH,1,10,Colegio la Ensenanza,1,5,2,6+11=?,17,17,2.942001343,1,-LcC9eJjqssJq3TxrRB-
-LcC9oDYP3mPEto1QAzp,1,10,Colegio la Ensenanza,1,5,0,1+3=?,4,4,4.007990837,1,-LcC9mrulG_GRim-O7f6
-LcC9omtcylXtJpp2L9T,1,10,Colegio la Ensenanza,1,5,0,6+4=?,10,10,3.174717903,1,-LcC9kcyGjlrJufhWjY2
-LcC9ov7Vk4I-PU1sN9u,1,10,Colegio la Ensenanza,1,5,0,4+2=?,6,6,2.853291512,1,-LcC9mrulG_GRim-O7f6
-LcC9owjHKsITx5cbZ2a,3,10,Colegio la Ensenanza,1,5,3,13+10=?,23,23,18.33721161,1,-LcC9Y01hq-wpSGPOKxj
-LcC9p2v5vKilnqnNjnc,1,9,Colegio la Ensenanza,1,5,3,22+10=?,32,32,6.718693733,1,-LcC9XonlJh6zjm8wRMb
-LcC9pA4hlL6xjy_hcgr,1,10,Colegio la Ensenanza,1,5,1,7+10=?,17,17,4.689868927,1,-LcC9dfKMykAfuobp_Z3
-LcC9pUBBy3teRH25aIR,1,10,Colegio la Ensenanza,1,5,1,1+10=?,11,11,2.824529648,1,-LcC9kcyGjlrJufhWjY2
-LcC9pWm6v9T-_iYgxvo,1,10,Colegio la Ensenanza,1,5,0,4+3=?,7,7,2.469610214,1,-LcC9mrulG_GRim-O7f6
-LcC9phaHgBM2qv6mrZC,1,10,Colegio la Ensenanza,1,5,1,0+10=?,10,10,2.210029602,1,-LcC9dfKMykAfuobp_Z3
-LcC9pjl9utDsnOc0-jz,1,10,Colegio la Ensenanza,1,5,2,7+17=?,24,24,6.936275482,1,-LcC9eJjqssJq3TxrRB-
-LcC9pvrakSFDY__rHk5,1,10,Colegio la Ensenanza,1,5,3,22+10=?,32,32,4.037977219,1,-LcC9Y01hq-wpSGPOKxj
-LcC9q1VVoSBI0_BVvJL,1,10,Colegio la Ensenanza,1,5,0,3+1=?,4,4,2.085813522,1,-LcC9mrulG_GRim-O7f6
-LcC9qJk6H3QxlCaKNsh,1,10,Colegio la Ensenanza,1,5,1,3+10=?,13,13,3.42596817,1,-LcC9kcyGjlrJufhWjY2
-LcC9qVjF4iIcypa1e7N,1,10,Colegio la Ensenanza,1,5,2,2+12=?,14,14,3.272827148,1,-LcC9dfKMykAfuobp_Z3
-LcC9qtSyduotX7aiEqJ,1,10,Colegio la Ensenanza,1,5,1,5+10=?,15,15,2.356374741,1,-LcC9kcyGjlrJufhWjY2
-LcC9rUB3iM2Yw37QWmx,1,10,Colegio la Ensenanza,1,5,3,17+10=?,27,27,6.357303619,1,-LcC9Y01hq-wpSGPOKxj
-LcC9ra5Ea9hkzxdLTbB,3,10,Colegio la Ensenanza,1,5,0,6+4=?,10,10,6.374279022,1,-LcC9mrulG_GRim-O7f6
-LcC9rcB_m1CLanelDW1,1,10,Colegio la Ensenanza,1,5,2,8+21=?,29,29,7.722579956,1,-LcC9eJjqssJq3TxrRB-
-LcC9s1y90-gOvBWWe7j,1,10,Colegio la Ensenanza,1,5,1,7+10=?,17,17,4.696216583,1,-LcC9kcyGjlrJufhWjY2
-LcC9s916SxUywRXqRbC,1,10,Colegio la Ensenanza,1,5,1,1+10=?,11,11,2.302736282,1,-LcC9mrulG_GRim-O7f6
-LcC9sAZcfGmjN71PzcS,1,10,Colegio la Ensenanza,1,5,2,3+30=?,33,33,2.256385803,1,-LcC9eJjqssJq3TxrRB-
-LcC9sJ4Rkos6S3KtMUM,1,10,Colegio la Ensenanza,1,5,4,17+25=?,42,42,19.13788414,1,-LcC9XItyyOrVxzcUKCC
-LcC9sNlNqdVX5513ZW1,1,10,Colegio la Ensenanza,1,5,3,33+10=?,43,43,3.687473297,1,-LcC9Y01hq-wpSGPOKxj
-LcC9sbQxTJGs170O6qm,1,10,Colegio la Ensenanza,1,5,1,0+10=?,10,10,2.339935303,1,-LcC9kcyGjlrJufhWjY2
-LcC9stdU_U1gDK-Ks_k,1,10,Colegio la Ensenanza,1,5,2,6+11=?,17,20,9.769516945,1,-LcC9dfKMykAfuobp_Z3
-LcC9sxY2Oe_g7tGbeLO,1,10,Colegio la Ensenanza,1,5,3,40+10=?,50,50,2.352493286,1,-LcC9Y01hq-wpSGPOKxj
-LcC9sxrAbTm0nOH49Ja,1,10,Colegio la Ensenanza,1,5,1,3+10=?,13,13,3.32062912,1,-LcC9mrulG_GRim-O7f6
-LcC9t9mVWXnYI-aasoC,1,10,Colegio la Ensenanza,1,5,0,1+3=?,4,4,4.636819363,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9tAJlr9n30_0hmXG,1,10,Colegio la Ensenanza,1,5,3,13+10=?,23,23,4.078529358,1,-LcC9eJjqssJq3TxrRB-
-LcC9tCAYb5FJIJzYyQj,1,10,Colegio la Ensenanza,1,5,4,25+25=?,50,50,3.660400391,1,-LcC9XItyyOrVxzcUKCC
-LcC9tKi2LrR5OXGsPGy,1,10,Colegio la Ensenanza,1,5,2,2+12=?,14,14,2.957788467,1,-LcC9kcyGjlrJufhWjY2
-LcC9tqqcjXBlzMoLnDT,1,10,Colegio la Ensenanza,1,5,0,4+2=?,6,6,2.743067265,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9tv2Tzklug5UH4l2,1,10,Colegio la Ensenanza,1,5,1,5+10=?,15,15,3.921333313,1,-LcC9mrulG_GRim-O7f6
-LcC9uTx99E-iZCD7FSf,1,10,Colegio la Ensenanza,1,5,4,42+35=?,77,77,5.231880188,1,-LcC9XItyyOrVxzcUKCC
-LcC9uX1B8euQMjBdnfq,1,10,Colegio la Ensenanza,1,5,2,7+17=?,24,24,6.680567741,1,-LcC9dfKMykAfuobp_Z3
-LcC9uZqh450gXV8mfZT,1,10,Colegio la Ensenanza,1,5,1,7+10=?,17,17,2.669858932,1,-LcC9mrulG_GRim-O7f6
-LcC9ujdgJQ4_OlvauxQ,1,10,Colegio la Ensenanza,1,5,0,4+3=?,7,7,3.629800797,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9unmk_HQpxEvZCEc,1,10,Colegio la Ensenanza,1,5,2,6+11=?,17,17,6.033164978,1,-LcC9kcyGjlrJufhWjY2
-LcC9uyL9mpDG-T9Hl9_,1,10,Colegio la Ensenanza,1,5,3,22+10=?,32,32,7.345588684,1,-LcC9eJjqssJq3TxrRB-
-LcC9vHOt7-o5y3Jb3LT,1,10,Colegio la Ensenanza,1,5,0,3+1=?,4,4,2.224948883,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9vHYqx9wfuN8vA3I,1,10,Colegio la Ensenanza,1,5,1,0+10=?,10,10,2.920154572,1,-LcC9mrulG_GRim-O7f6
-LcC9vqvS18-TiRUpb44,1,10,Colegio la Ensenanza,1,5,4,17+25=?,42,42,11.86352539,1,-LcC9Y01hq-wpSGPOKxj
-LcC9vzdSR_nOunZuPlU,1,10,Colegio la Ensenanza,1,5,0,6+4=?,10,10,2.894105911,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9vzojhQatKQN2V-h,1,10,Colegio la Ensenanza,1,5,2,2+12=?,14,14,2.903461456,1,-LcC9mrulG_GRim-O7f6
-LcC9w-UBbAulM2oFHZQ,1,10,Colegio la Ensenanza,1,5,3,17+10=?,27,27,4.245811462,1,-LcC9eJjqssJq3TxrRB-
-LcC9w6VGsWHIT7FMh5L,1,9,Colegio la Ensenanza,1,5,3,17+10=?,27,27,28.91135025,1,-LcC9XonlJh6zjm8wRMb
-LcC9wcUCrU3CHIXAH44,1,10,Colegio la Ensenanza,1,5,1,1+10=?,11,11,2.609714508,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9wns-ZwPcJh9yvLj,1,10,Colegio la Ensenanza,1,5,2,6+11=?,17,17,3.320159912,1,-LcC9mrulG_GRim-O7f6
-LcC9xBmMbCFwobvzaGT,1,9,Colegio la Ensenanza,1,5,0,1+3=?,4,4,9.053231239,1,-LcC9ugDAkclZB5AjqbU
-LcC9xCGWmDbHAMteuKM,1,10,Colegio la Ensenanza,1,5,3,33+10=?,43,43,4.914291382,1,-LcC9eJjqssJq3TxrRB-
-LcC9xGdA4XgwY-R62n5,1,10,Colegio la Ensenanza,1,5,2,8+21=?,29,29,11.23504639,1,-LcC9dfKMykAfuobp_Z3
-LcC9xIdsfVfTQXVTj_U,1,10,Colegio la Ensenanza,1,5,1,3+10=?,13,13,2.760282516,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9xbq7NJi5Md2AV6B,1,10,Colegio la Ensenanza,1,5,2,7+17=?,24,24,11.51521301,1,-LcC9kcyGjlrJufhWjY2
-LcC9xfhYXUXFWh1CjX9,1,10,Colegio la Ensenanza,1,5,4,46+37=?,83,83,13.1046257,1,-LcC9XItyyOrVxzcUKCC
-LcC9xsOEsYGY8X_fsN9,1,10,Colegio la Ensenanza,1,5,0,1+3=?,4,4,4.770654678,1,-LcC9wOQ-n9_rixV8tVy
-LcC9xtMHBTIvADEaBpe,1,10,Colegio la Ensenanza,1,5,3,40+10=?,50,50,2.824386597,1,-LcC9eJjqssJq3TxrRB-
-LcC9y-adtPciwPafZ3_,1,9,Colegio la Ensenanza,1,5,3,33+10=?,43,43,7.754650116,1,-LcC9XonlJh6zjm8wRMb
-LcC9y1zKgPs_1fixHSG,1,10,Colegio la Ensenanza,1,5,1,5+10=?,15,15,3.027938843,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9y3ygf56a59IxPaX,1,10,Colegio la Ensenanza,1,5,2,3+30=?,33,33,3.289680481,1,-LcC9dfKMykAfuobp_Z3
-LcC9ycTzaW7T-p_So-_,1,9,Colegio la Ensenanza,1,5,3,40+10=?,50,50,2.540241241,1,-LcC9XonlJh6zjm8wRMb
-LcC9yod71vTEToFbuL6,1,9,Colegio la Ensenanza,1,5,0,4+2=?,6,6,6.607574463,1,-LcC9ugDAkclZB5AjqbU
-LcC9yq9vo8tvh_S7ohF,1,10,Colegio la Ensenanza,1,5,1,7+10=?,17,17,3.27888298,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9yr1GJztdPdZABqB,1,10,Colegio la Ensenanza,1,5,0,4+2=?,6,6,3.981107712,1,-LcC9wOQ-n9_rixV8tVy
-LcC9ytXxWUc96UKo_T1,1,10,Colegio la Ensenanza,1,5,2,7+17=?,24,24,8.560077667,1,-LcC9mrulG_GRim-O7f6
-LcC9yy5aP7burIN6D-b,1,10,Colegio la Ensenanza,1,5,4,25+25=?,50,40,12.74823761,1,-LcC9Y01hq-wpSGPOKxj
-LcC9zLxyV2AsoJshbs1,1,10,Colegio la Ensenanza,1,5,1,0+10=?,10,10,2.09107399,1,-LcC9rgHb4ER9LwTW1Kh
-LcC9zVGHtMHwah9nef9,1,10,Colegio la Ensenanza,1,5,0,4+3=?,7,7,2.643174171,1,-LcC9wOQ-n9_rixV8tVy
-LcC9zjE6tIASPoN8ZPX,1,10,Colegio la Ensenanza,1,5,4,61+39=?,100,100,8.407318115,1,-LcC9XItyyOrVxzcUKCC
-LcC9zvzxPMQElNnRSBb,1,10,Colegio la Ensenanza,1,5,2,2+12=?,14,14,2.37553978,1,-LcC9rgHb4ER9LwTW1Kh
-LcCA-7ChrastKs45A8P,1,9,Colegio la Ensenanza,1,5,0,4+3=?,7,7,5.353266716,1,-LcC9ugDAkclZB5AjqbU
-LcCA-8_LNe-TPgXPfYc,1,10,Colegio la Ensenanza,1,5,2,8+21=?,29,29,5.122695923,1,-LcC9mrulG_GRim-O7f6
-LcCA-KWgBlSVX122sa9,1,10,Colegio la Ensenanza,1,5,0,3+1=?,4,4,3.395970345,1,-LcC9wOQ-n9_rixV8tVy
-LcCA-VmLq89RRkzbi7Y,1,10,Colegio la Ensenanza,1,5,3,13+10=?,23,23,9.972332001,1,-LcC9dfKMykAfuobp_Z3
-LcCA-pfyqLigcnkKAZY,1,10,Colegio la Ensenanza,1,5,2,3+30=?,33,33,2.820007324,1,-LcC9mrulG_GRim-O7f6
-LcCA00EMTw5uZFxRL9q,1,10,Colegio la Ensenanza,1,5,4,17+25=?,42,42,12.7863884,1,-LcC9eJjqssJq3TxrRB-
-LcCA04gKZrXBV_7NRtO,1,9,Colegio la Ensenanza,1,5,0,3+1=?,4,4,3.931301117,1,-LcC9ugDAkclZB5AjqbU
-LcCA0AgBvGvf8gyvtzk,1,10,Colegio la Ensenanza,1,5,2,8+21=?,29,29,14.57299995,1,-LcC9kcyGjlrJufhWjY2
-LcCA0aHYAj3F8xzUo_9,1,10,Colegio la Ensenanza,1,5,2,6+11=?,17,17,6.808708191,1,-LcC9rgHb4ER9LwTW1Kh
-LcCA0zYYEPmPugrENPu,1,10,Colegio la Ensenanza,1,5,2,3+30=?,33,33,3.308952332,1,-LcC9kcyGjlrJufhWjY2
-LcCA1N_iSCc5d9jrjl6,1,9,Colegio la Ensenanza,1,5,0,6+4=?,10,10,5.303071976,1,-LcC9ugDAkclZB5AjqbU
-LcCA1b7REpoEY9iF0eK,1,10,Colegio la Ensenanza,1,5,0,6+4=?,10,10,9.318021774,1,-LcC9wOQ-n9_rixV8tVy
-LcCA1bjQcy46TFd3bOO,1,10,Colegio la Ensenanza,1,5,3,13+10=?,23,23,4.68163681,1,-LcC9mrulG_GRim-O7f6
-LcCA1hvul92YUB-OZOm,1,10,Colegio la Ensenanza,1,5,4,42+35=?,77,77,15.33288574,1,-LcC9Y01hq-wpSGPOKxj
-LcCA1thY4Hvg385FZtL,1,9,Colegio la Ensenanza,1,5,4,17+25=?,42,42,17.46775818,1,-LcC9XonlJh6zjm8wRMb
-LcCA1vaZWa7MUTH1dpk,1,10,Colegio la Ensenanza,1,5,4,25+25=?,50,40,7.839168549,1,-LcC9eJjqssJq3TxrRB-
-LcCA1xaBBh1Yr1e3sQm,1,9,Colegio la Ensenanza,1,5,1,1+10=?,11,11,2.358781815,1,-LcC9ugDAkclZB5AjqbU
-LcCA2HeEhpbP_GnvfJo,1,10,Colegio la Ensenanza,1,5,1,1+10=?,11,11,2.776996613,1,-LcC9wOQ-n9_rixV8tVy
-LcCA2acxgZB271eU0dN,1,10,Colegio la Ensenanza,1,5,2,7+17=?,24,24,8.213897705,1,-LcC9rgHb4ER9LwTW1Kh
-LcCA2fajVYfy5I8kr2K,1,9,Colegio la Ensenanza,1,5,1,3+10=?,13,13,2.961032867,1,-LcC9ugDAkclZB5AjqbU
-LcCA2mwJardMUyrDCY6,1,10,Colegio la Ensenanza,1,5,3,22+10=?,32,26,13.44940186,1,-LcC9dfKMykAfuobp_Z3
-LcCA2nv7XQ62EcCGyq9,1,10,Colegio la Ensenanza,1,5,3,13+10=?,23,23,7.454195023,1,-LcC9kcyGjlrJufhWjY2
-LcCA37rKQ0R3LOLYcDu,1,10,Colegio la Ensenanza,1,5,1,3+10=?,13,13,3.479618073,1,-LcC9wOQ-n9_rixV8tVy
-LcCA3ErpffOC14loTdr,1,9,Colegio la Ensenanza,1,5,1,5+10=?,15,15,2.308589935,1,-LcC9ugDAkclZB5AjqbU
-LcCA3bLjgWQXvdZRdYN,1,9,Colegio la Ensenanza,1,5,4,25+25=?,50,50,7.01978302,1,-LcC9XonlJh6zjm8wRMb
-LcCA3cNll2kGXBWA-He,1,10,Colegio la Ensenanza,1,5,3,22+10=?,32,32,8.243163109,1,-LcC9mrulG_GRim-O7f6
-LcCA3px9_PmTAIBx6XR,1,9,Colegio la Ensenanza,1,5,1,7+10=?,17,17,2.442420959,1,-LcC9ugDAkclZB5AjqbU
