answerID;answerChangedCount;edad;escuela;genero;grado;loID;problema;respuesta;respuestaJ;tiempo;tipo;userID
¿-LcH7EtMuyGx-G3BgVcV;1;7;ColegiolaEnsenanza;1;1;2;7+17?;24;-;8,775054932;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtNKJAUkgcm6vlg;1;7;ColegiolaEnsenanza;1;1;2;8+21?;29;-;31,77415466;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtO6RXXR1GLtSUM;1;7;ColegiolaEnsenanza;1;1;2;3+30?;33;-;13,3453598;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtPZpnBATux5CGF;1;7;ColegiolaEnsenanza;1;1;3;13+10?;23;23;79,86928558;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtQEBrVY8gTpVR3;1;7;ColegiolaEnsenanza;1;1;3;22+10?;32;32;41,36470032;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtRiyDFQiETINSl;1;7;ColegiolaEnsenanza;1;1;3;17+10?;27;-;13,34645844;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtWXdMzY6kdafHS;1;7;ColegiolaEnsenanza;1;1;3;33+10?;43;-;1,618232727;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtXWION2bolhSmf;1;7;ColegiolaEnsenanza;1;1;3;40+10?;50;50;33,39251709;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtZZHOXSDG0WrXr;1;7;ColegiolaEnsenanza;1;1;4;17+25?;42;-;12,39387321;1;¿-LcH7Et6OfHmt5lHFkpt
-LcH7Et_XEK-8IB6lFcj;1;7;ColegiolaEnsenanza;1;1;4;25+25?;50;-;2,302059174;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7Etaovpc7g3mC_Ah;1;7;ColegiolaEnsenanza;1;1;4;42+35?;77;77;20,06887054;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtbelBeYZO33vKM;2;7;ColegiolaEnsenanza;1;1;4;46+37?;83;67;13,1404705;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7EtccG1KFVhQ8eJ3;2;7;ColegiolaEnsenanza;1;1;4;61+39?;100;80;21,18597794;1;¿-LcH7Et6OfHmt5lHFkpt
¿-LcH7Etd2kPIsV8rxrvH;1;8;ColegiolaEnsenanza;1;2;0;1+3?;4;4;28,01179695;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Ete08UplxK6P7lJ;1;8;ColegiolaEnsenanza;1;2;0;4+2?;6;6;11,6262188;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EtfNE9JnGAB0Rao;1;8;ColegiolaEnsenanza;1;2;0;4+3?;7;7;8,841587067;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EtgkkTk-cv091L9;1;8;ColegiolaEnsenanza;1;2;0;3+1?;4;4;22,0633316;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EthJ3PK2G-Hhq_R;1;8;ColegiolaEnsenanza;1;2;0;6+4?;10;10;16,4153614;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EtiGeHjCueBZY_I;1;8;ColegiolaEnsenanza;1;2;1;1+10?;11;11;45,4698143;1;¿-LcH7EtccG1KFVhQ8eJ4
