,answerChangedCount,edad,escuela,genero,grado,loID,problema,tiempo,userID,isCorrect
53,1,10,Colegio la Ensenanza,1,5,2,7+17=?,5.8725852970000005,-LcC9Y01hq-wpSGPOKxj,1
54,3,10,Colegio la Ensenanza,1,5,3,13+10=?,18.33721161,-LcC9Y01hq-wpSGPOKxj,1
55,1,10,Colegio la Ensenanza,1,5,0,6+4=?,4.788511276,-LcC9Y01hq-wpSGPOKxj,1
56,1,10,Colegio la Ensenanza,1,5,1,1+10=?,1.9014225009999999,-LcC9Y01hq-wpSGPOKxj,1
57,1,10,Colegio la Ensenanza,1,5,3,22+10=?,4.037977219,-LcC9Y01hq-wpSGPOKxj,1
58,1,10,Colegio la Ensenanza,1,5,4,42+35=?,15.33288574,-LcC9Y01hq-wpSGPOKxj,1
59,1,10,Colegio la Ensenanza,1,5,0,3+1=?,1.935474396,-LcC9Y01hq-wpSGPOKxj,1
60,1,10,Colegio la Ensenanza,1,5,4,17+25=?,11.86352539,-LcC9Y01hq-wpSGPOKxj,1
61,1,10,Colegio la Ensenanza,1,5,2,2+12=?,3.1865158080000002,-LcC9Y01hq-wpSGPOKxj,1
62,1,10,Colegio la Ensenanza,1,5,2,8+21=?,6.29013443,-LcC9Y01hq-wpSGPOKxj,1
63,1,10,Colegio la Ensenanza,1,5,1,5+10=?,2.319143295,-LcC9Y01hq-wpSGPOKxj,1
64,1,10,Colegio la Ensenanza,1,5,1,7+10=?,2.001899719,-LcC9Y01hq-wpSGPOKxj,1
65,1,10,Colegio la Ensenanza,1,5,1,0+10=?,2.369123459,-LcC9Y01hq-wpSGPOKxj,1
66,1,10,Colegio la Ensenanza,1,5,4,61+39=?,7.1401634220000005,-LcC9Y01hq-wpSGPOKxj,1
67,1,10,Colegio la Ensenanza,1,5,3,40+10=?,2.352493286,-LcC9Y01hq-wpSGPOKxj,1
68,1,10,Colegio la Ensenanza,1,5,0,4+2=?,2.8866276739999996,-LcC9Y01hq-wpSGPOKxj,1
69,1,10,Colegio la Ensenanza,1,5,4,25+25=?,12.74823761,-LcC9Y01hq-wpSGPOKxj,0
70,1,10,Colegio la Ensenanza,1,5,0,4+3=?,4.087166786,-LcC9Y01hq-wpSGPOKxj,1
71,1,10,Colegio la Ensenanza,1,5,0,1+3=?,4.707388401,-LcC9Y01hq-wpSGPOKxj,1
72,1,10,Colegio la Ensenanza,1,5,2,3+30=?,2.118946075,-LcC9Y01hq-wpSGPOKxj,1
73,1,10,Colegio la Ensenanza,1,5,3,33+10=?,3.687473297,-LcC9Y01hq-wpSGPOKxj,1
74,1,10,Colegio la Ensenanza,1,5,1,3+10=?,2.636203766,-LcC9Y01hq-wpSGPOKxj,1
75,1,10,Colegio la Ensenanza,1,5,2,3+30=?,3.2896804810000004,-LcC9dfKMykAfuobp_Z3,1
76,1,10,Colegio la Ensenanza,1,5,3,22+10=?,13.44940186,-LcC9dfKMykAfuobp_Z3,0
77,1,10,Colegio la Ensenanza,1,5,1,0+10=?,2.210029602,-LcC9dfKMykAfuobp_Z3,1
78,1,10,Colegio la Ensenanza,1,5,3,13+10=?,9.972332001,-LcC9dfKMykAfuobp_Z3,1
79,1,10,Colegio la Ensenanza,1,5,3,33+10=?,20.26551437,-LcC9dfKMykAfuobp_Z3,1
80,1,10,Colegio la Ensenanza,1,5,0,1+3=?,13.07874298,-LcC9dfKMykAfuobp_Z3,1
81,1,10,Colegio la Ensenanza,1,5,2,7+17=?,6.680567741,-LcC9dfKMykAfuobp_Z3,1
