,edad,escuela,genero,grado,loID,problema,tiempo,userID,isCorrect
59,10,Hartford International School,0,5,2,3+30=?,1.8051681518554688,-LaQZurPwCF55Hiv18kH,1
60,11,Hartford International School,0,5,2,7+17=?,11.21369171142578,-LaQZtfxo0QA8Ij62dk1,1
61,10,Hartford International School,0,5,2,6+11=?,2.5401649475097656,-LaQZxvCZUvf9J0938NI,1
62,10,Hartford International School,1,5,0,6+4=?,4.729918479919434,-LaQ_17xY4fcr0IJ-wUl,1
63,11,Hartford International School,1,5,0,4+3=?,3.96125078201294,-LaQ_3Jf9TXvzTNREIvk,1
64,11,Hartford International School,0,5,2,8+21=?,2.557682037353516,-LaQZtfxo0QA8Ij62dk1,1
65,10,Hartford International School,0,5,3,13+10=?,2.90786361694336,-LaQZurPwCF55Hiv18kH,1
66,10,Hartford International School,0,5,2,7+17=?,8.874916076660156,-LaQZvlOUvQcKzVILey9,1
67,10,Hartford International School,1,5,1,1+10=?,2.490180969238281,-LaQ_17xY4fcr0IJ-wUl,1
68,10,Hartford International School,0,5,0,1+3=?,3.867161512374878,-LaQ_5nnlLhsA3u6iDF5,0
69,11,Hartford International School,0,5,2,3+30=?,2.523235321044922,-LaQZtfxo0QA8Ij62dk1,1
70,11,Hartford International School,1,5,0,3+1=?,2.8582429885864262,-LaQ_3Jf9TXvzTNREIvk,1
71,10,Hartford International School,1,5,1,3+10=?,2.456890106201172,-LaQ_17xY4fcr0IJ-wUl,1
72,10,Hartford International School,0,5,2,8+21=?,3.52569580078125,-LaQZvlOUvQcKzVILey9,1
73,11,Hartford International School,0,5,3,13+10=?,2.339160919189453,-LaQZtfxo0QA8Ij62dk1,1
74,10,Hartford International School,0,5,3,22+10=?,5.131065368652344,-LaQZurPwCF55Hiv18kH,1
75,10,Hartford International School,1,5,1,5+10=?,2.1896839141845703,-LaQ_17xY4fcr0IJ-wUl,1
76,10,Hartford International School,0,5,0,4+2=?,4.051440238952637,-LaQ_5nnlLhsA3u6iDF5,1
77,10,Hartford International School,0,5,2,7+17=?,8.957523345947266,-LaQZxvCZUvf9J0938NI,1
78,10,Hartford International School,0,5,2,3+30=?,2.339794158935547,-LaQZvlOUvQcKzVILey9,1
79,11,Hartford International School,1,5,0,6+4=?,4.227597236633302,-LaQ_3Jf9TXvzTNREIvk,1
80,10,Hartford International School,1,5,0,6+4=?,14.156999588012695,-LaQ_08Mr96o00YYSj4_,1
81,10,Hartford International School,1,5,1,7+10=?,2.138723373413086,-LaQ_17xY4fcr0IJ-wUl,1
82,10,Hartford International School,0,5,3,17+10=?,3.2752685546875,-LaQZurPwCF55Hiv18kH,1
83,10,Hartford International School,0,5,3,13+10=?,2.4401931762695312,-LaQZvlOUvQcKzVILey9,1
84,10,Hartford International School,1,5,1,1+10=?,2.022897720336914,-LaQ_08Mr96o00YYSj4_,1
85,10,Hartford International School,0,5,2,8+21=?,2.641395568847656,-LaQZxvCZUvf9J0938NI,1
86,10,Hartford International School,1,5,1,0+10=?,1.872222900390625,-LaQ_17xY4fcr0IJ-wUl,1
87,11,Hartford International School,1,5,1,1+10=?,3.7099742889404297,-LaQ_3Jf9TXvzTNREIvk,1
88,11,Hartford International School,0,5,3,22+10=?,5.816854000091553,-LaQZtfxo0QA8Ij62dk1,1
89,10,Hartford International School,0,5,2,3+30=?,2.3227615356445312,-LaQZxvCZUvf9J0938NI,1
90,10,Hartford International School,1,5,1,3+10=?,2.557445526123047,-LaQ_08Mr96o00YYSj4_,1
91,10,Hartford International School,1,5,2,2+12=?,2.4896678924560547,-LaQ_17xY4fcr0IJ-wUl,1
92,10,Hartford International School,0,5,3,22+10=?,3.509685516357422,-LaQZvlOUvQcKzVILey9,1
93,10,Hartford International School,0,5,0,4+3=?,6.3787031173706055,-LaQ_5nnlLhsA3u6iDF5,1
94,11,Hartford International School,1,5,1,3+10=?,2.206277847290039,-LaQ_3Jf9TXvzTNREIvk,1
95,11,Hartford International School,0,5,3,17+10=?,2.4399642944335938,-LaQZtfxo0QA8Ij62dk1,1
96,10,Hartford International School,0,5,3,33+10=?,5.514684200286865,-LaQZurPwCF55Hiv18kH,1
97,11,Hartford International School,1,5,1,5+10=?,2.4732341766357417,-LaQ_3Jf9TXvzTNREIvk,1
98,10,Hartford International School,0,5,3,13+10=?,4.094474792480469,-LaQZxvCZUvf9J0938NI,1
99,10,Hartford International School,0,5,0,3+1=?,4.269503593444823,-LaQ_5nnlLhsA3u6iDF5,1
100,10,Hartford International School,1,5,1,5+10=?,5.5320396423339835,-LaQ_08Mr96o00YYSj4_,1
101,11,Hartford International School,0,5,3,33+10=?,3.994228363037109,-LaQZtfxo0QA8Ij62dk1,1
102,11,Hartford International School,1,5,0,1+3=?,5.079469203948975,-LaQ_9HUIeIA4jb6sDJP,1
103,10,Hartford International School,0,5,3,17+10=?,5.13111686706543,-LaQZvlOUvQcKzVILey9,1
104,10,Hartford International School,0,5,3,40+10=?,3.64330530166626,-LaQZurPwCF55Hiv18kH,1
105,11,Hartford International School,1,5,1,7+10=?,2.55752944946289,-LaQ_3Jf9TXvzTNREIvk,1
106,10,Hartford International School,1,5,2,6+11=?,6.5848960876464835,-LaQ_17xY4fcr0IJ-wUl,1
107,11,Hartford International School,0,5,3,40+10=?,2.0217113494873047,-LaQZtfxo0QA8Ij62dk1,1
